date,country,abbreviation_canton,name_canton,number_canton,lat,long,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-21,CH,AG,Aargau,01,47.40966,8.15688,,,,,175.0,7.0,,1.0,,
2020-03-21,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,,,,,3.0,0.0,,,,
2020-03-21,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,,,,,22.0,4.0,,1.0,,
2020-03-21,CH,BE,Bern,02,46.823608,7.636667,,,,,418.0,41.0,,3.0,,
2020-03-21,CH,BL,Basel-Landschaft,13,47.45176,7.702414,,,,,282.0,98.0,,3.0,,
2020-03-21,CH,BS,Basel-Stadt,12,47.564869,7.615259,,,,,299.0,27.0,,5.0,,
2020-03-21,CH,FR,Fribourg,10,46.718391,7.074008,,,,,136.0,27.0,,1.0,,
2020-03-21,CH,GE,Genève,25,46.220528,6.132935,,,,,1048.0,54.0,,8.0,,
2020-03-21,CH,GL,Glarus,08,46.931042000000005,9.065751,,,,,21.0,3.0,,,,
2020-03-21,CH,GR,Graubünden,01,46.656248,9.628198,,,,,239.0,80.0,,3.0,,
2020-03-21,CH,JU,Jura,26,47.350744,7.156107,,,,,49.0,20.0,,,,
2020-03-21,CH,LU,Luzern,03,47.067763,8.1102,,,,,109.0,17.0,,,,
2020-03-21,CH,NE,Neuchatel,24,46.995534,6.780126,,,,,177.0,18.0,,2.0,,
2020-03-21,CH,NW,Nidwalden,07,46.926755,8.405302,,,,,33.0,5.0,,,,
2020-03-21,CH,OW,Obwalden,06,46.804527,8.144317000000001,,,,,19.0,2.0,,,,
2020-03-21,CH,SG,St. Gallen,17,47.1832,9.274744,,,,,137.0,39.0,,,,
2020-03-21,CH,SH,Schaffhausen,14,47.71357,8.59167,,,,,17.0,3.0,,,,
2020-03-21,CH,SO,Solothurn,11,47.304135,7.639388,,,,,58.0,12.0,,,,
2020-03-21,CH,SZ,Schwyz,05,47.061787,8.756585,,,,,56.0,17.0,,,,
2020-03-21,CH,TG,Thurgau,01,47.568715,9.091957,,,,,56.0,7.0,,,,
2020-03-21,CH,TI,Ticino,21,46.295617,8.808924,,,,,918.0,84.0,,28.0,,
2020-03-21,CH,UR,Uri,04,46.771849,8.628586,,,,,12.0,5.0,,,,
2020-03-21,CH,VD,Vaud,22,46.570091,6.557809000000001,,,,,1676.0,244.0,,15.0,,
2020-03-21,CH,VS,Valais,23,46.209567,7.604659,,,,,359.0,77.0,,9.0,,
2020-03-21,CH,ZG,Zug,09,47.157296,8.537294,,,,,,,,,,
2020-03-21,CH,ZH,Zürich,01,47.41275,8.65508,,,,,,,,3.0,,
