date,country,abbreviation_canton,name_canton,number_canton,lat,long,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-20,CH,AG,Aargau,01,47.40966,8.15688,,,,,168.0,50.0,,,,
2020-03-20,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,,,,,3.0,0.0,,,,
2020-03-20,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,,,,,18.0,2.0,,,,
2020-03-20,CH,BE,Bern,02,46.823608,7.636667,,,,,377.0,95.0,,2.0,,
2020-03-20,CH,BL,Basel-Landschaft,13,47.45176,7.702414,,,,,184.0,45.0,,2.0,,
2020-03-20,CH,BS,Basel-Stadt,12,47.564869,7.615259,,,,,272.0,50.0,,4.0,,
2020-03-20,CH,FR,Fribourg,10,46.718391,7.074008,,,,,109.0,27.0,,1.0,,
2020-03-20,CH,GE,Genève,25,46.220528,6.132935,,,,,994.0,168.0,,8.0,,
2020-03-20,CH,GL,Glarus,08,46.931042000000005,9.065751,,,,,18.0,2.0,,,,
2020-03-20,CH,GR,Graubünden,01,46.656248,9.628198,,,,,159.0,14.0,,1.0,,
2020-03-20,CH,JU,Jura,26,47.350744,7.156107,,,,,29.0,2.0,,,,
2020-03-20,CH,LU,Luzern,03,47.067763,8.1102,,,,,92.0,29.0,,,,
2020-03-20,CH,NE,Neuchatel,24,46.995534,6.780126,,,,,159.0,27.0,,,,
2020-03-20,CH,NW,Nidwalden,07,46.926755,8.405302,,,,,28.0,3.0,,,,
2020-03-20,CH,OW,Obwalden,06,46.804527,8.144317000000001,,,,,17.0,0.0,,,,
2020-03-20,CH,SG,St. Gallen,17,47.1832,9.274744,,,,,98.0,13.0,,,,
2020-03-20,CH,SH,Schaffhausen,14,47.71357,8.59167,,,,,14.0,6.0,,,,
2020-03-20,CH,SO,Solothurn,11,47.304135,7.639388,,,,,46.0,7.0,,,,
2020-03-20,CH,SZ,Schwyz,05,47.061787,8.756585,,,,,39.0,4.0,,,,
2020-03-20,CH,TG,Thurgau,01,47.568715,9.091957,,,,,49.0,13.0,,,,
2020-03-20,CH,TI,Ticino,21,46.295617,8.808924,,,,,834.0,196.0,,,,
2020-03-20,CH,UR,Uri,04,46.771849,8.628586,,,,,7.0,0.0,,,,
2020-03-20,CH,VD,Vaud,22,46.570091,6.557809000000001,,,,,1432.0,220.0,,12.0,,
2020-03-20,CH,VS,Valais,23,46.209567,7.604659,,,,,282.0,50.0,,4.0,,
2020-03-20,CH,ZG,Zug,09,47.157296,8.537294,,,,,48.0,25.0,,,,
2020-03-20,CH,ZH,Zürich,01,47.41275,8.65508,,,,,773.0,247.0,,3.0,,
