date,country,abbreviation_canton,name_canton,number_canton,lat,long,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-18,CH,AG,Aargau,01,47.40966,8.15688,,,,,101.0,34.0,,,,
2020-03-18,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,,,,,3.0,,,,,
2020-03-18,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,,,,,10.0,,,,,
2020-03-18,CH,BE,Bern,02,46.823608,7.636667,,,,,193.0,,,,,
2020-03-18,CH,BL,Basel-Landschaft,13,47.45176,7.702414,,,,,116.0,,,,,
2020-03-18,CH,BS,Basel-Stadt,12,47.564869,7.615259,,,,,182.0,17.0,,4.0,,
2020-03-18,CH,FR,Fribourg,10,46.718391,7.074008,,,,,67.0,,,,,
2020-03-18,CH,GE,Genève,25,46.220528,6.132935,,,,,629.0,134.0,,5.0,,
2020-03-18,CH,GL,Glarus,08,46.931042000000005,9.065751,,,,,10.0,,,,,
2020-03-18,CH,GR,Graubünden,01,46.656248,9.628198,,,,,116.0,,,,,
2020-03-18,CH,JU,Jura,26,47.350744,7.156107,,,,,25.0,2.0,,,,
2020-03-18,CH,LU,Luzern,03,47.067763,8.1102,,,,,48.0,-2.0,,,,
2020-03-18,CH,NE,Neuchatel,24,46.995534,6.780126,,,,,99.0,22.0,,,,
2020-03-18,CH,NW,Nidwalden,07,46.926755,8.405302,,,,,18.0,6.0,,,,
2020-03-18,CH,OW,Obwalden,06,46.804527,8.144317000000001,,,,,16.0,,,,,
2020-03-18,CH,SG,St. Gallen,17,47.1832,9.274744,,,,,61.0,14.0,,,,
2020-03-18,CH,SH,Schaffhausen,14,47.71357,8.59167,,,,,6.0,,,,,
2020-03-18,CH,SO,Solothurn,11,47.304135,7.639388,,,,,31.0,,,,,
2020-03-18,CH,SZ,Schwyz,05,47.061787,8.756585,,,,,29.0,,,,,
2020-03-18,CH,TG,Thurgau,01,47.568715,9.091957,,,,,32.0,9.0,,,,
2020-03-18,CH,TI,Ticino,21,46.295617,8.808924,,,,,511.0,89.0,,14.0,,
2020-03-18,CH,UR,Uri,04,46.771849,8.628586,,,,,5.0,,,,,
2020-03-18,CH,VD,Vaud,22,46.570091,6.557809000000001,,,,,796.0,188.0,,5.0,,
2020-03-18,CH,VS,Valais,23,46.209567,7.604659,,,,,129.0,34.0,,3.0,,
2020-03-18,CH,ZG,Zug,09,47.157296,8.537294,,,,,17.0,,,,,
2020-03-18,CH,ZH,Zürich,01,47.41275,8.65508,,,,,424.0,130.0,,,,
