date,country,abbreviation_canton,name_canton,number_canton,lat,long,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-14,CH,AG,Aargau,01,47.40966,8.15688,,,,,31.0,3.0,,,,
2020-03-14,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,,,,,2.0,2.0,,,,
2020-03-14,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,,,,,5.0,0.0,,,,
2020-03-14,CH,BE,Bern,02,46.823608,7.636667,,,,,78.0,16.0,,0.0,,
2020-03-14,CH,BL,Basel-Landschaft,13,47.45176,7.702414,,,,,48.0,6.0,,,,
2020-03-14,CH,BS,Basel-Stadt,12,47.564869,7.615259,,,,,119.0,8.0,,,,
2020-03-14,CH,FR,Fribourg,10,46.718391,7.074008,,,,,38.0,7.0,,,,
2020-03-14,CH,GE,Genève,25,46.220528,6.132935,,,,,196.0,92.0,,2.0,,
2020-03-14,CH,GL,Glarus,08,46.931042000000005,9.065751,,,,,5.0,1.0,,,,
2020-03-14,CH,GR,Graubünden,01,46.656248,9.628198,,,,,47.0,8.0,,,,
2020-03-14,CH,JU,Jura,26,47.350744,7.156107,,,,,10.0,3.0,,,,
2020-03-14,CH,LU,Luzern,03,47.067763,8.1102,,,,,19.0,6.0,,,,
2020-03-14,CH,NE,Neuchatel,24,46.995534,6.780126,,,,,39.0,2.0,,,,
2020-03-14,CH,NW,Nidwalden,07,46.926755,8.405302,,,,,5.0,0.0,,,,
2020-03-14,CH,OW,Obwalden,06,46.804527,8.144317000000001,,,,,8.0,1.0,,,,
2020-03-14,CH,SG,St. Gallen,17,47.1832,9.274744,,,,,26.0,7.0,,,,
2020-03-14,CH,SH,Schaffhausen,14,47.71357,8.59167,,,,,1.0,0.0,,,,
2020-03-14,CH,SO,Solothurn,11,47.304135,7.639388,,,,,10.0,2.0,,,,
2020-03-14,CH,SZ,Schwyz,05,47.061787,8.756585,,,,,13.0,3.0,,,,
2020-03-14,CH,TG,Thurgau,01,47.568715,9.091957,,,,,5.0,0.0,,,,
2020-03-14,CH,TI,Ticino,21,46.295617,8.808924,,,,,262.0,44.0,,,,
2020-03-14,CH,UR,Uri,04,46.771849,8.628586,,,,,2.0,0.0,,,,
2020-03-14,CH,VD,Vaud,22,46.570091,6.557809000000001,,,,,273.0,51.0,,3.0,,
2020-03-14,CH,VS,Valais,23,46.209567,7.604659,,,,,47.0,18.0,,1.0,,
2020-03-14,CH,ZG,Zug,09,47.157296,8.537294,,,,,9.0,2.0,,,,
2020-03-14,CH,ZH,Zürich,01,47.41275,8.65508,,,,,148.0,8.0,,,,
